43.7734,10.0082,8.4755,0.972367,0.227528,0.052286 
27.6328,6.2314,7.6075,0.972367,0.227528,0.052286 
25.8394,5.8118,7.5111,0.972367,0.227528,0.052286 
25.8392,5.8121,6.9755,0.972502,0.226951,0.052287 
25.8392,5.8117,6.5403,0.972617,0.226454,0.052287 
25.8391,5.8117,6.1865,0.972709,0.226062,0.052287 
25.8391,5.8117,5.8991,0.972782,0.225747,0.052287 
25.8390,5.8117,5.6654,0.972841,0.225490,0.052286 
25.8390,5.8118,5.4755,0.972890,0.225282,0.052284 
25.8390,5.8117,5.3212,0.972930,0.225110,0.052280 
25.8390,5.8115,5.1958,0.972965,0.224962,0.052270 
25.8387,5.8118,5.0111,0.973010,0.224773,0.052227 
25.8363,5.8113,4.8633,0.973078,0.224617,0.051633 
25.8339,5.8108,4.7236,0.973144,0.224471,0.051017 
25.8308,5.8103,4.5455,0.973227,0.224291,0.050229 
25.8271,5.8091,4.3322,0.973329,0.224055,0.049286 
25.8231,5.8073,4.0896,0.973450,0.223766,0.048213 
25.8213,5.8051,3.9604,0.973524,0.223565,0.047642 
25.8193,5.8022,3.8135,0.973611,0.223322,0.046993 
25.8177,5.7973,3.6667,0.973715,0.223004,0.046343 
25.8160,5.7910,3.4996,0.973839,0.222615,0.045604 
25.8147,5.7834,3.3325,0.973974,0.222174,0.044866 
25.8137,5.7741,3.1655,0.974123,0.221669,0.044127 
25.8129,5.7622,2.9754,0.974302,0.221048,0.043287 
25.8127,5.7478,2.7854,0.974502,0.220328,0.042446 
25.8129,5.7315,2.5954,0.974717,0.219537,0.041606 
25.8134,5.7134,2.4054,0.974945,0.218678,0.040766 
25.8146,5.6922,2.2154,0.975199,0.217700,0.039925 
25.8161,5.6700,2.0254,0.975459,0.216683,0.039085 
25.8181,5.6450,1.8354,0.975741,0.215563,0.038244 
25.8207,5.6173,1.6454,0.976043,0.214336,0.037403 
25.8235,5.5883,1.4554,0.976355,0.213061,0.036563 
25.8270,5.5563,1.2654,0.976688,0.211669,0.035723 
25.8310,5.5218,1.0755,0.977040,0.210183,0.034882 
25.8353,5.4851,0.8855,0.977406,0.208612,0.034042 
25.8402,5.4459,0.6955,0.977789,0.206946,0.033202 
25.8456,5.4035,0.5056,0.978194,0.205158,0.032361 
